Species,Site_1,Site_2,Site_3,Site_4,Site_5,Site_6,Site_7,Site_8,Site_9,,Species,Plantation,Open Heathland,Ancient Caledonian,,,,P1,P2,P3,,O1,O2,O3,,C1,C2,C3,,,Plantation,Open,Cale
Lophophanes cristatus_Crested Tit,1,1,1,1,1,1,1,0,1,,Lophophanes cristatus_Crested Tit,,,,,,,1,1,1,,1,1,1,,1,0,1,,,1,1,1
Loxia curvirostra_Red Crossbill,1,0,0,1,1,0,1,1,1,,Loxia curvirostra_Red Crossbill,,,,,,,1,1,0,,0,0,1,,1,1,1,,,1,1,1
Loxia pytyopsittacus_Parrot Crossbill,1,1,0,1,1,0,0,1,0,,Loxia pytyopsittacus_Parrot Crossbill,,,,,,,1,1,0,,1,0,1,,0,1,0,,,1,1,1
Loxia scotica_Scottish Crossbill,0,0,0,0,0,0,0,0,0,,Loxia scotica_Scottish Crossbill,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Luscinia svecica_Bluethroat,0,0,0,0,0,0,0,0,0,,Luscinia svecica_Bluethroat,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Lymnocryptes minimus_Jack Snipe,0,0,0,0,0,0,0,0,0,,Lymnocryptes minimus_Jack Snipe,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Lyrurus tetrix_Black Grouse,0,0,0,0,0,0,0,0,0,,Lyrurus tetrix_Black Grouse,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Mareca penelope_Eurasian Wigeon,0,0,0,0,0,0,0,0,0,,Mareca penelope_Eurasian Wigeon,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Mareca strepera_Gadwall,0,0,0,0,0,0,0,0,0,,Mareca strepera_Gadwall,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Melanitta fusca_Velvet Scoter,0,0,0,0,0,0,0,0,0,,Melanitta fusca_Velvet Scoter,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Melanitta nigra_Common Scoter,0,0,0,0,0,0,0,0,0,,Melanitta nigra_Common Scoter,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Mergus merganser_Common Merganser,0,0,0,0,0,0,0,0,0,,Mergus merganser_Common Merganser,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Mergus serrator_Red-breasted Merganser,0,0,0,0,0,0,0,0,0,,Mergus serrator_Red-breasted Merganser,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Milvus milvus_Red Kite,0,0,0,0,0,0,0,0,0,,Milvus milvus_Red Kite,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Morus bassanus_Northern Gannet,0,0,0,0,0,0,0,0,0,,Morus bassanus_Northern Gannet,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Motacilla alba_White Wagtail,0,0,0,0,0,0,1,0,1,,Motacilla alba_White Wagtail,,,,,,,0,0,0,,0,0,0,,1,0,1,,,0,0,1
Motacilla cinerea_Gray Wagtail,0,0,0,0,0,0,0,0,1,,Motacilla cinerea_Gray Wagtail,,,,,,,0,0,0,,0,0,0,,0,0,1,,,0,0,1
Motacilla flava_Western Yellow Wagtail,0,0,0,0,0,0,0,0,0,,Motacilla flava_Western Yellow Wagtail,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Muscicapa striata_Spotted Flycatcher,1,0,1,0,0,0,0,0,0,,Muscicapa striata_Spotted Flycatcher,,,,,,,1,0,0,,0,1,0,,0,0,0,,,1,1,0
Numenius arquata_Eurasian Curlew,0,0,0,0,0,0,0,0,0,,Numenius arquata_Eurasian Curlew,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Numenius phaeopus_Whimbrel,0,0,0,0,0,0,0,0,0,,Numenius phaeopus_Whimbrel,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Oenanthe oenanthe_Northern Wheatear,0,0,0,0,0,0,0,0,0,,Oenanthe oenanthe_Northern Wheatear,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Oxyura jamaicensis_Ruddy Duck,0,0,0,0,0,0,0,0,0,,Oxyura jamaicensis_Ruddy Duck,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Pandion haliaetus_Osprey,0,0,0,0,0,0,0,0,0,,Pandion haliaetus_Osprey,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Parus major_Great Tit,0,1,1,1,0,0,0,0,0,,Parus major_Great Tit,,,,,,,0,0,0,,1,1,1,,0,0,0,,,0,1,0
Passer domesticus_House Sparrow,0,0,0,0,0,0,0,0,0,,Passer domesticus_House Sparrow,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Passer montanus_Eurasian Tree Sparrow,0,0,0,0,0,0,0,0,0,,Passer montanus_Eurasian Tree Sparrow,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Perdix perdix_Gray Partridge,0,0,0,0,0,0,0,0,0,,Perdix perdix_Gray Partridge,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Periparus ater_Coal Tit,1,1,1,1,1,1,1,1,1,,Periparus ater_Coal Tit,,,,,,,1,1,1,,1,1,1,,1,1,1,,,1,1,1
Phalacrocorax carbo_Great Cormorant,0,0,0,0,0,0,0,0,0,,Phalacrocorax carbo_Great Cormorant,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Phalaropus fulicarius_Red Phalarope,0,0,0,0,0,0,0,0,0,,Phalaropus fulicarius_Red Phalarope,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Phalaropus lobatus_Red-necked Phalarope,0,0,0,0,0,0,0,0,0,,Phalaropus lobatus_Red-necked Phalarope,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Phasianus colchicus_Ring-necked Pheasant,0,0,0,0,0,0,0,0,0,,Phasianus colchicus_Ring-necked Pheasant,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Phoenicurus ochruros_Black Redstart,0,0,1,0,0,0,0,0,0,,Phoenicurus ochruros_Black Redstart,,,,,,,0,0,0,,0,1,0,,0,0,0,,,0,1,0
Phoenicurus phoenicurus_Common Redstart,0,0,0,0,0,0,0,0,0,,Phoenicurus phoenicurus_Common Redstart,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Phylloscopus collybita_Common Chiffchaff,0,0,0,0,0,0,0,0,0,,Phylloscopus collybita_Common Chiffchaff,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
